iter	RMSE
465	0.5746046353
466	0.5745484603
467	0.5744777216
468	0.5743669806
469	0.5743115364
470	0.5742347738
471	0.5742004965
472	0.5740543699
473	0.5740504767
474	0.5739091276
475	0.5738600074
476	0.5737594766
477	0.5736580012
478	0.5735804394
479	0.5735788987
480	0.5734505688
481	0.5734439881
482	0.5733605303
483	0.573261325
484	0.5732592021
485	0.5731737858
486	0.5730301989
487	0.5729686627
488	0.5728545007
489	0.5728142082
490	0.5727091496
491	0.5726365636
492	0.572635823
493	0.5726236664
494	0.5725082253
495	0.5724917026
496	0.5724180219
497	0.5723682003
498	0.5722993354
499	0.5722845703
500	0.5722710281
501	0.5721782976
502	0.5721216081
503	0.5720220741
504	0.5718986873
505	0.5718127211
506	0.5717175319
507	0.5717122463
508	0.5716413675
509	0.5714895942
510	0.5714276631
511	0.5713180838
512	0.5712332863
513	0.5711216447
514	0.5710430946
515	0.5710405293
516	0.5710175115
517	0.5709553368
518	0.570895979
519	0.5708342488
520	0.5708312373
521	0.5707173203
522	0.5706428793
523	0.5705847853
524	0.570487084
525	0.5704099593
526	0.5702712643
527	0.5702492136
528	0.570175485
529	0.5700995429
530	0.5700529953
531	0.5700422316
532	0.5699571409
533	0.5698599351
534	0.5698053293
535	0.5697939564
536	0.5696915803
537	0.5696256037
538	0.5696239648
539	0.5696185661
540	0.569614473
541	0.5695867725
542	0.5695287686
543	0.5694935408
544	0.5694182586
545	0.5693474368
546	0.5692481315
547	0.5692456491
548	0.5691297614
549	0.5691019004
550	0.5690503505
551	0.5690171331
552	0.5690154233
553	0.5689234316
554	0.5688618295
555	0.5688130215
556	0.5687089201
557	0.5686949312
558	0.5686047923
559	0.5685270319
560	0.5684455964
561	0.568378474
562	0.568299309
563	0.568200364
564	0.5681988111
565	0.568136985
566	0.5680552058
567	0.5679629196
568	0.5679446712
569	0.5679433824
570	0.5679406278
571	0.5679302765
572	0.5678874471
573	0.5678201079
574	0.5677951517
575	0.5677707516
576	0.5677677039
577	0.5677634063
578	0.5677560798
579	0.5677224986
580	0.5676884028
581	0.5675927202
582	0.5675255608
583	0.5674958139
584	0.5674112901
585	0.5673613582
586	0.5672642799
587	0.5672343334
588	0.5671563445
589	0.567098151
590	0.5670159539
591	0.5669316811
592	0.5669001727
593	0.5668238964
594	0.5667642118
595	0.5667034679
596	0.5666180184
597	0.5665704443
598	0.5665536024
599	0.5665507325
